newsloc	newspaper	location	state	issues mentioning wk	issues mentioning pr	issues mentioning gd
the-stark-county-democrat_canton,-ohio	the-stark-county-democrat	canton,-ohio	OH	0	4	4
tombstone-daily-prospector_tombstone,-ariz.	tombstone-daily-prospector	tombstone,-ariz.	AZ	11	13	8
the-aegis-&-intelligencer_bel-air,-md.	the-aegis-&-intelligencer	bel-air,-md.	MD	1	2	1
the-maryville-times_maryville,-tenn.	the-maryville-times	maryville,-tenn.	TN	2	0	0
democratic-northwest_napoleon,-ohio	democratic-northwest	napoleon,-ohio	OH	3	8	1
the-meeker-herald_meeker,-colo.	the-meeker-herald	meeker,-colo.	CO	1	0	0
the-brookhaven-leader_brookhaven,-miss.	the-brookhaven-leader	brookhaven,-miss.	MS	3	6	1
dakota-farmers'-leader_canton,-s.d.	dakota-farmers'-leader	canton,-s.d.	SD	3	4	5
perrysburg-journal_perrysburg,-wood-co.,-o.-[ohio]	perrysburg-journal	perrysburg,-wood-co.,-o.-[ohio]	OH	1	2	1
hopkinsville-kentuckian_hopkinsville,-ky.	hopkinsville-kentuckian	hopkinsville,-ky.	KY	0	0	2
the-hot-springs-star_hot-spings-[hot-springs],-dakota-[dakota-territory,-i.e.-s.d.]	the-hot-springs-star	hot-spings-[hot-springs],-dakota-[dakota-territory,-i.e.-s.d.]	SD	6	11	4
st-landry-democrat_opelousas,-la.	st-landry-democrat	opelousas,-la.	LA	0	1	0
the-national-tribune_washington,-d.c.	the-national-tribune	washington,-d.c.	DC	5	4	5
little-falls-transcript_little-falls,-morrison-county,-minn.	little-falls-transcript	little-falls,-morrison-county,-minn.	MN	1	0	2
new-york-tribune_new-york-[n.y.]	new-york-tribune	new-york-[n.y.]	NY	11	22	2
capital-city-courier_lincoln,-neb.	capital-city-courier	lincoln,-neb.	NE	2	0	3
washington-standard_olympia,-wash.-territory	washington-standard	olympia,-wash.-territory	WA	1	1	5
boletín-mercantil-de-puerto-rico_san-juan,-p.r.	boletín-mercantil-de-puerto-rico	san-juan,-p.r.	PR	1	1	0
the-daily-morning-astorian_astoria,-oregon	the-daily-morning-astorian	astoria,-oregon	OR	2	6	2
the-prison-mirror_stillwater,-minn.	the-prison-mirror	stillwater,-minn.	MN	1	0	1
evening-capital_annapolis,-md.	evening-capital	annapolis,-md.	MD	1	0	2
griggs-courier_cooperstown,-griggs-co.,-dak.-[n.d.]	griggs-courier	cooperstown,-griggs-co.,-dak.-[n.d.]	ND	5	11	7
macon-beacon_macon,-miss.	macon-beacon	macon,-miss.	MS	2	5	2
the-durham-daily-globe_durham,-n.c.	the-durham-daily-globe	durham,-n.c.	NC	0	0	0
oxford-democrat_paris,-me.	oxford-democrat	paris,-me.	ME	0	0	0
the-arizona-sentinel_arizona-city-[yuma],-yuma-county,-a.t.-[ariz.]	the-arizona-sentinel	arizona-city-[yuma],-yuma-county,-a.t.-[ariz.]	AZ	0	1	0
the-weekly-thibodaux-sentinel-and-journal-of-the-8th-senatorial-district_thibodaux,-lna.-[i.e.-la.]	the-weekly-thibodaux-sentinel-and-journal-of-the-8th-senatorial-district	thibodaux,-lna.-[i.e.-la.]	LA	0	0	1
the-farmers'-alliance_lincoln,-nebraska	the-farmers'-alliance	lincoln,-nebraska	NE	3	4	1
the-diamond-drill_crystal-falls,-iron-county,-mich.	the-diamond-drill	crystal-falls,-iron-county,-mich.	MI	1	2	2
the-sun_morris,-stevens-county,-minn.	the-sun	morris,-stevens-county,-minn.	MN	4	6	4
nevada-county-picayune_prescott,-nev.-county,-ark.	nevada-county-picayune	prescott,-nev.-county,-ark.	AR	1	0	1
barbour-county-index_medicine-lodge,-kan.	barbour-county-index	medicine-lodge,-kan.	KS	0	0	1
the-cape-girardeau-democrat_cape-girardeau,-mo.	the-cape-girardeau-democrat	cape-girardeau,-mo.	MO	0	1	2
desoto-times_hernando,-miss.	desoto-times	hernando,-miss.	MS	0	0	1
wheeling-register_wheeling,-w.-va.	wheeling-register	wheeling,-w.-va.	WV	18	23	33
herald-and-news_west-randolph,-vt.	herald-and-news	west-randolph,-vt.	VT	0	1	1
the-jasper-weekly-courier_jasper,-ind.	the-jasper-weekly-courier	jasper,-ind.	IN	6	6	2
idaho-county-free-press_grangeville,-idaho-territory	idaho-county-free-press	grangeville,-idaho-territory	ID	5	7	4
the-cecil-whig_elkton,-md.	the-cecil-whig	elkton,-md.	MD	0	0	0
the-londonderry-sifter_south-londonderry,-vt.	the-londonderry-sifter	south-londonderry,-vt.	VT	1	1	5
the-record-union_sacramento,-calif.	the-record-union	sacramento,-calif.	CA	17	28	7
scranton-wochenblatt_scranton,-pa.	scranton-wochenblatt	scranton,-pa.	PA	4	4	0
the-globe-republican_dodge-city,-kan.	the-globe-republican	dodge-city,-kan.	KS	8	8	3
lyon-county-times_silver-city,-nev.	lyon-county-times	silver-city,-nev.	NV	0	1	2
weekly-expositor_brockway-centre,-mich.	weekly-expositor	brockway-centre,-mich.	MI	3	3	3
the-bennington-banner_bennington,-vt.	the-bennington-banner	bennington,-vt.	VT	0	0	1
santa-fe-daily-new-mexican_santa-fe,-n.m.	santa-fe-daily-new-mexican	santa-fe,-n.m.	NM	7	14	12
the-state-rights-democrat_albany,-linn-county,-oregon	the-state-rights-democrat	albany,-linn-county,-oregon	OR	1	3	2
courier-democrat_langdon,-n.d.	courier-democrat	langdon,-n.d.	ND	0	0	0
the-republican-journal_belfast,-me.	the-republican-journal	belfast,-me.	ME	0	0	1
sturgis-advertiser_sturgis,-dakota-[s.d.]	sturgis-advertiser	sturgis,-dakota-[s.d.]	SD	5	7	6
crittenden-press_marion,-ky.	crittenden-press	marion,-ky.	KY	3	3	0
herald-and-tribune_jonesborough,-tenn.	herald-and-tribune	jonesborough,-tenn.	TN	0	0	0
the-somerset-herald_somerset,-pa.	the-somerset-herald	somerset,-pa.	PA	1	1	2
the-carbon-advocate_lehighton,-pa.	the-carbon-advocate	lehighton,-pa.	PA	0	0	1
the-herald-advance_milbank,-s.d.	the-herald-advance	milbank,-s.d.	SD	4	7	5
the-butler-weekly-times_butler,-mo.	the-butler-weekly-times	butler,-mo.	MO	4	3	6
the-watchman-and-southron_sumter,-s.c.	the-watchman-and-southron	sumter,-s.c.	SC	3	1	1
ameryka_toledo,-ohio	ameryka	toledo,-ohio	OH	0	0	0
the-anderson-intelligencer_anderson-court-house,-s.c.	the-anderson-intelligencer	anderson-court-house,-s.c.	SC	1	0	0
albuquerque-weekly-citizen_albuquerque,-n.m.	albuquerque-weekly-citizen	albuquerque,-n.m.	NM	0	0	1
richmond-planet_richmond,-va.	richmond-planet	richmond,-va.	VA	0	0	1
yorkville-enquirer_yorkville,-s.c.	yorkville-enquirer	yorkville,-s.c.	SC	7	7	4
the-hickman-courier_hickman,-ky.	the-hickman-courier	hickman,-ky.	KY	3	0	2
virginia-free-press_charlestown,-va.-[w.-va.]	virginia-free-press	charlestown,-va.-[w.-va.]	WV	0	0	1
the-manitowoc-pilot_manitowoc,-wis.	the-manitowoc-pilot	manitowoc,-wis.	WI	4	2	9
the-times_richmond,-va.	the-times	richmond,-va.	VA	0	1	2
the-hazel-green-herald_hazel-green,-wolfe-county,-ky.	the-hazel-green-herald	hazel-green,-wolfe-county,-ky.	KY	0	0	0
iron-county-register_ironton,-iron-county,-mo.	iron-county-register	ironton,-iron-county,-mo.	MO	7	8	7
delaware-gazette-and-state-journal_wilmington,-del.	delaware-gazette-and-state-journal	wilmington,-del.	DE	7	10	9
arizona-silver-belt_globe-city,-pinal-county,-ariz.	arizona-silver-belt	globe-city,-pinal-county,-ariz.	AZ	0	4	2
the-pacific-commercial-advertiser_honolulu,-hawaiian-islands	the-pacific-commercial-advertiser	honolulu,-hawaiian-islands	HI	1	0	0
the-seattle-post-intelligencer_seattle,-wash.-terr.-[wash.]	the-seattle-post-intelligencer	seattle,-wash.-terr.-[wash.]	WA	36	64	45
the-hocking-sentinel_logan,-ohio	the-hocking-sentinel	logan,-ohio	OH	0	0	1
mower-county-transcript_lansing,-minn.	mower-county-transcript	lansing,-minn.	MN	2	9	4
the-roanoke-times_roanoke,-va.	the-roanoke-times	roanoke,-va.	VA	12	10	8
fair-play_ste.-genevieve-[mo.]	fair-play	ste.-genevieve-[mo.]	MO	5	0	1
the-lebanon-express_lebanon,-linn-county,-or.	the-lebanon-express	lebanon,-linn-county,-or.	OR	2	5	3
the-meridional_abbeville,-la.	the-meridional	abbeville,-la.	LA	0	0	0
the-comet_johnson-city,-tenn.	the-comet	johnson-city,-tenn.	TN	0	2	1
the-columbia-herald_columbia,-tenn.	the-columbia-herald	columbia,-tenn.	TN	3	4	0
the-dickinson-press_dickinson,-stark-county,-d.t.-[i.e.-n.d.]	the-dickinson-press	dickinson,-stark-county,-d.t.-[i.e.-n.d.]	ND	4	9	3
bismarck-weekly-tribune_bismarck,-dakota-[n.d.]	bismarck-weekly-tribune	bismarck,-dakota-[n.d.]	ND	7	17	10
the-black-hills-union_rapid-city,-pennington-county,-dakota-[s.d.]	the-black-hills-union	rapid-city,-pennington-county,-dakota-[s.d.]	SD	3	5	3
belmont-chronicle_st.-clairsville,-ohio	belmont-chronicle	st.-clairsville,-ohio	OH	0	1	5
wiarus_winona,-minn.	wiarus	winona,-minn.	MN	3	7	0
warren-sheaf_warren,-marshall-county,-minn.	warren-sheaf	warren,-marshall-county,-minn.	MN	1	5	3
wessington-springs-herald_wessington-springs,-aurora-county,-dakota-[s.d.]	wessington-springs-herald	wessington-springs,-aurora-county,-dakota-[s.d.]	SD	6	10	7
asheville-daily-citizen_asheville,-n.c.	asheville-daily-citizen	asheville,-n.c.	NC	11	11	8
the-durham-recorder_durham,-n.c.	the-durham-recorder	durham,-n.c.	NC	1	2	2
watertown-republican_watertown,-wis.	watertown-republican	watertown,-wis.	WI	3	8	4
hermanner-volksblatt_hermann,-mo.	hermanner-volksblatt	hermann,-mo.	MO	0	2	0
telegram-herald_[grand-rapids,-mich.	telegram-herald	[grand-rapids,-mich.	MI	17	22	7
feliciana-sentinel_st.-francisville,-la.	feliciana-sentinel	st.-francisville,-la.	LA	0	1	0
middlebury-register_middlebury,-vt.	middlebury-register	middlebury,-vt.	VT	1	0	0
the-madison-daily-leader_madison,-s.d.	the-madison-daily-leader	madison,-s.d.	SD	17	32	15
watauga-democrat_boone,-watauga-county,-n.c.	watauga-democrat	boone,-watauga-county,-n.c.	NC	1	1	0
west-virginia-argus_kingwood,-w.-va.	west-virginia-argus	kingwood,-w.-va.	WV	1	0	0
los-cerrillos-rustler_cerrillos,-n.m.	los-cerrillos-rustler	cerrillos,-n.m.	NM	0	0	0
the-daily-critic_washington-city,-d.c.	the-daily-critic	washington-city,-d.c.	DC	2	1	5
the-l'anse-sentinel_l'anse,-l.s.,-mich.	the-l'anse-sentinel	l'anse,-l.s.,-mich.	MI	4	5	5
the-st-charles-herald_hahnville,-la.	the-st-charles-herald	hahnville,-la.	LA	0	0	0
morning-appeal_carson-city,-nev.	morning-appeal	carson-city,-nev.	NV	0	2	7
the-livingston-enterprise_livingston,-mont.	the-livingston-enterprise	livingston,-mont.	MT	5	10	3
the-delta-independent_delta,-colo.	the-delta-independent	delta,-colo.	CO	2	5	2
the-frankfort-roundabout_frankfort,-ky.	the-frankfort-roundabout	frankfort,-ky.	KY	1	0	0
the-weekly-union-times_union-c.h.,-south-carolina	the-weekly-union-times	union-c.h.,-south-carolina	SC	5	0	2
the-wilmington-daily-republican_wilmington,-del.	the-wilmington-daily-republican	wilmington,-del.	DE	3	2	2
barton-county-democrat_great-bend,-kan.	barton-county-democrat	great-bend,-kan.	KS	6	10	6
the-weekly-tribune_great-falls,-mont.	the-weekly-tribune	great-falls,-mont.	MT	0	4	0
the-news-and-herald_winnsboro,-s.c.	the-news-and-herald	winnsboro,-s.c.	SC	0	0	0
weekly-graphic_kirksville,-adair-co.,-mo.	weekly-graphic	kirksville,-adair-co.,-mo.	MO	1	0	1
fort-worth-daily-gazette_fort-worth,-tex.	fort-worth-daily-gazette	fort-worth,-tex.	TX	5	23	21
southern-standard_mcminnville,-tenn.	southern-standard	mcminnville,-tenn.	TN	2	2	0
the-great-west_st.-paul,-minn.	the-great-west	st.-paul,-minn.	MN	0	1	0
wood-county-reporter_grand-rapids-[i.e.-wisconsin-rapids],-wis.	wood-county-reporter	grand-rapids-[i.e.-wisconsin-rapids],-wis.	WI	4	8	6
the-russellville-democrat_russellville,-ark.	the-russellville-democrat	russellville,-ark.	AR	2	3	2
the-salt-lake-herald_salt-lake-city-[utah]	the-salt-lake-herald	salt-lake-city-[utah]	UT	33	76	43
mineral-point-tribune_mineral-point,-wis.	mineral-point-tribune	mineral-point,-wis.	WI	3	5	3
the-weiser-signal_weiser,-idaho	the-weiser-signal	weiser,-idaho	ID	0	0	3
frostburg-mining-journal_frostburg,-md.	frostburg-mining-journal	frostburg,-md.	MD	0	0	0
the-port-gibson-reveille_port-gibson,-miss.	the-port-gibson-reveille	port-gibson,-miss.	MS	0	0	2
pullman-herald_pullman,-w.t.-[wash.]	pullman-herald	pullman,-w.t.-[wash.]	WA	2	3	3
the-manchester-journal_manchester,-vt.	the-manchester-journal	manchester,-vt.	VT	0	0	0
el-fronterizo_tucson,-ariz.	el-fronterizo	tucson,-ariz.	AZ	2	4	0
juniata-sentinel-and-republican_mifflintown,-juniata-county,-pa.	juniata-sentinel-and-republican	mifflintown,-juniata-county,-pa.	PA	0	1	3
the-cambria-freeman_ebensburg,-pa.	the-cambria-freeman	ebensburg,-pa.	PA	0	5	1
the-caldwell-tribune_caldwell,-idaho-territory-[idaho]	the-caldwell-tribune	caldwell,-idaho-territory-[idaho]	ID	5	6	6
ellsworth-american_ellsworth,-me.	ellsworth-american	ellsworth,-me.	ME	1	1	2
the-democrat_scotland-neck,-halifax-co.,-n.c.	the-democrat	scotland-neck,-halifax-co.,-n.c.	NC	0	0	0
the-vermont-watchman_montpelier,-vt.	the-vermont-watchman	montpelier,-vt.	VT	1	0	0
the-washington-bee_washington,-d.c.	the-washington-bee	washington,-d.c.	DC	0	2	0
the-appeal_saint-paul,-minn.-;	the-appeal	saint-paul,-minn.-;	MN	0	3	2
alma-record_alma,-mich.	alma-record	alma,-mich.	MI	1	0	2
deseret-evening-news_great-salt-lake-city-[utah]	deseret-evening-news	great-salt-lake-city-[utah]	UT	18	19	23
the-bolivar-bulletin_bolivar,-tenn.	the-bolivar-bulletin	bolivar,-tenn.	TN	1	3	1
the-forest-republican_tionesta,-pa.	the-forest-republican	tionesta,-pa.	PA	0	0	0
morris-tribune_morris,-minn.	morris-tribune	morris,-minn.	MN	3	9	3
fisherman-&-farmer_edenton,-n.c.	fisherman-&-farmer	edenton,-n.c.	NC	3	4	0
the-wichita-daily-eagle_wichita,-kan.	the-wichita-daily-eagle	wichita,-kan.	KS	29	59	44
the-red-cloud-chief_red-cloud,-webster-co.,-neb.	the-red-cloud-chief	red-cloud,-webster-co.,-neb.	NE	7	6	2
the-progressive-farmer_winston,-n.c.	the-progressive-farmer	winston,-n.c.	NC	1	2	2
fergus-falls-ugeblad_fergus-falls,-minn.	fergus-falls-ugeblad	fergus-falls,-minn.	MN	4	5	0
middletown-transcript_middletown,-del.	middletown-transcript	middletown,-del.	DE	0	0	4
the-manning-times_manning,-clarendon-county,-s.c.	the-manning-times	manning,-clarendon-county,-s.c.	SC	3	7	2
thomas-county-cat_colby,-kan.	thomas-county-cat	colby,-kan.	KS	2	8	6
orleans-county-monitor_barton,-vt.	orleans-county-monitor	barton,-vt.	VT	2	3	2
evening-star_washington,-d.c.	evening-star	washington,-d.c.	DC	46	74	44
phillipsburg-herald_phillipsburg,-kan.	phillipsburg-herald	phillipsburg,-kan.	KS	2	4	2
the-ocala-banner_ocala,-marion-county,-fla.	the-ocala-banner	ocala,-marion-county,-fla.	FL	0	0	0
arizona-republican_phoenix,-ariz.	arizona-republican	phoenix,-ariz.	AZ	25	25	29
the-climax_richmond,-madison-county,-ky.	the-climax	richmond,-madison-county,-ky.	KY	1	6	4
southern-live-stock-journal_starkville,-miss.	southern-live-stock-journal	starkville,-miss.	MS	0	0	0
lewiston-teller_lewiston,-north-idaho	lewiston-teller	lewiston,-north-idaho	ID	2	5	5
marble-hill-press_marbel-[sic]-hill,-mo.	marble-hill-press	marbel-[sic]-hill,-mo.	MO	0	2	2
iowa-county-democrat_mineral-point,-wis.	iowa-county-democrat	mineral-point,-wis.	WI	1	4	6
the-philipsburg-mail_philipsburg,-mont.	the-philipsburg-mail	philipsburg,-mont.	MT	0	4	2
the-austin-weekly-statesman_austin,-tex.	the-austin-weekly-statesman	austin,-tex.	TX	4	7	5
the-weekly-messenger_st.-martinsville-[i.e.-st.-martinville]-la.	the-weekly-messenger	st.-martinsville-[i.e.-st.-martinville]-la.	LA	0	0	0
the-mitchell-capital_mitchell,-dakota-[s.d.]	the-mitchell-capital	mitchell,-dakota-[s.d.]	SD	6	11	6
bellows-falls-times_bellows-falls,-vt.	bellows-falls-times	bellows-falls,-vt.	VT	0	0	0
la-voz-del-pueblo_santa-fe,-nuevo-méxico	la-voz-del-pueblo	santa-fe,-nuevo-méxico	NM	2	1	0
pierre-weekly-free-press_pierre,-s.d.	pierre-weekly-free-press	pierre,-s.d.	SD	3	6	2
wood-river-times_hailey,-idaho	wood-river-times	hailey,-idaho	ID	2	1	0
the-jersey-city-news_jersey-city-[n.j.]	the-jersey-city-news	jersey-city-[n.j.]	NJ	2	2	2
skaffaren_st.-paul,-minn.-;	skaffaren	st.-paul,-minn.-;	MN	3	7	0
rock-island-daily-argus_rock-island,-ill.	rock-island-daily-argus	rock-island,-ill.	IL	15	26	13
the-baltimore-county-union_towsontown,-md.	the-baltimore-county-union	towsontown,-md.	MD	0	0	0
deming-headlight_deming,-n.m.	deming-headlight	deming,-n.m.	NM	0	0	0
the-western-sentinel_winston-salem,-n.c.	the-western-sentinel	winston-salem,-n.c.	NC	1	0	1
the-camden-journal_camden,-s.c.	the-camden-journal	camden,-s.c.	SC	0	0	0
the-times_owosso,-mich.	the-times	owosso,-mich.	MI	4	5	5
dziennik-chicagoski_chicago-[ill.]	dziennik-chicagoski	chicago-[ill.]	IL	9	32	0
the-louisiana-democrat_alexandria,-la.	the-louisiana-democrat	alexandria,-la.	LA	1	0	0
semi-weekly-interior-journal_stanford,-ky.	semi-weekly-interior-journal	stanford,-ky.	KY	2	2	0
jamestown-weekly-alert_jamestown,-stutsman-county,-d.t.-[n.d.]	jamestown-weekly-alert	jamestown,-stutsman-county,-d.t.-[n.d.]	ND	5	11	6
alexandria-gazette_alexandria,-d.c.	alexandria-gazette	alexandria,-d.c.	DC	7	20	6
maryland-independent_port-tobacco,-md.	maryland-independent	port-tobacco,-md.	MD	1	1	0
the-sioux-county-journal_harrison,-nebraska	the-sioux-county-journal	harrison,-nebraska	NE	4	8	2
the-bossier-banner_bellevue,-bossier-parish,-la.	the-bossier-banner	bellevue,-bossier-parish,-la.	LA	0	0	1
south-branch-intelligencer_romney,-va.-[w.-va.]	south-branch-intelligencer	romney,-va.-[w.-va.]	WV	0	2	1
fort-worth-weekly-gazette_fort-worth,-tex.	fort-worth-weekly-gazette	fort-worth,-tex.	TX	0	3	5
the-critic_washington,-d.c.	the-critic	washington,-d.c.	DC	15	1	8
the-redwood-gazette_redwood-falls,-minn.	the-redwood-gazette	redwood-falls,-minn.	MN	4	8	1
der-fortschritt_new-ulm,-minn.	der-fortschritt	new-ulm,-minn.	MN	0	0	0
chariton-courier_keytesville,-chariton-county,-mo.	chariton-courier	keytesville,-chariton-county,-mo.	MO	4	2	4
the-gold-leaf_henderson,-n.c.	the-gold-leaf	henderson,-n.c.	NC	0	1	2
idaho-semi-weekly-world_idaho-city,-idaho-territory	idaho-semi-weekly-world	idaho-city,-idaho-territory	ID	1	3	4
the-corvallis-gazette_corvallis,-or.	the-corvallis-gazette	corvallis,-or.	OR	0	1	1
daily-independent_elko,-nev.	daily-independent	elko,-nev.	NV	2	8	11
the-st-mary-banner_franklin,-parish-of-st.-mary,-la.	the-st-mary-banner	franklin,-parish-of-st.-mary,-la.	LA	0	0	0
the-washburn-leader_washburn,-mclean-county,-n.d.	the-washburn-leader	washburn,-mclean-county,-n.d.	ND	6	15	10
the-magnolia-gazette_magnolia,-miss.	the-magnolia-gazette	magnolia,-miss.	MS	0	0	0
port-tobacco-times,-and-charles-county-advertiser_port-tobacco,-md.	port-tobacco-times,-and-charles-county-advertiser	port-tobacco,-md.	MD	0	0	0
kansas-agitator_garnett,-kan.	kansas-agitator	garnett,-kan.	KS	1	0	2
echo-de-l'ouest_minneapolis,-minn.	echo-de-l'ouest	minneapolis,-minn.	MN	2	3	1
the-grenada-sentinel_grenada,-miss.	the-grenada-sentinel	grenada,-miss.	MS	6	6	5
the-central-presbyterian_richmond,-va.	the-central-presbyterian	richmond,-va.	VA	0	0	0
the-daily-bulletin_honolulu-[hawaii]	the-daily-bulletin	honolulu-[hawaii]	HI	1	3	1
the-state-chronicle_raleigh,-n.c.	the-state-chronicle	raleigh,-n.c.	NC	2	0	0
eureka-weekly-sentinel_eureka,-nev.	eureka-weekly-sentinel	eureka,-nev.	NV	1	0	3
the-evening-world_new-york,-n.y.	the-evening-world	new-york,-n.y.	NY	8	3	6
oakes-weekly-republican_oakes,-dickey-county,-d.t.-[i.e.-n.d.]	oakes-weekly-republican	oakes,-dickey-county,-d.t.-[i.e.-n.d.]	ND	4	7	7
the-mccook-tribune_mccook,-neb.	the-mccook-tribune	mccook,-neb.	NE	3	13	5
omaha-daily-bee_omaha-[neb.]	omaha-daily-bee	omaha-[neb.]	NE	43	45	51
copiah-signal_hazlehurst,-miss.	copiah-signal	hazlehurst,-miss.	MS	0	0	0
the-weekly-intelligencer_lexington,-mo.	the-weekly-intelligencer	lexington,-mo.	MO	1	0	0
the-forrest-city-times_forrest-city,-ark.	the-forrest-city-times	forrest-city,-ark.	AR	5	3	4
news-and-citizen_morrisville,-vt.-;	news-and-citizen	morrisville,-vt.-;	VT	0	0	2
the-ohio-democrat_logan,-o.-[ohio]	the-ohio-democrat	logan,-o.-[ohio]	OH	1	2	4
the-kinsley-graphic_kinsley,-kan.	the-kinsley-graphic	kinsley,-kan.	KS	4	5	4
the-hope-pioneer_hope,-n.d.	the-hope-pioneer	hope,-n.d.	ND	5	9	9
lake-charles-commercial_lake-charles,-calcasieu-parish,-la.	lake-charles-commercial	lake-charles,-calcasieu-parish,-la.	LA	1	1	1
keowee-courier_pickens-court-house,-s.c.	keowee-courier	pickens-court-house,-s.c.	SC	0	0	0
the-iola-register_iola,-kan.	the-iola-register	iola,-kan.	KS	5	8	7
the-dalles-daily-chronicle_the-dalles,-or.	the-dalles-daily-chronicle	the-dalles,-or.	OR	10	30	9
